PLAYER, NUMBER, POSITION, AGE, HEIGHT, WEIGHT, TEAM, DIV, CONFERENCE
Nikola Jokic, 15, C, 29, 6-11, 284, Denver Nuggets, Northwest, Western
Giannis Antetokounmpo, 34, PF, 30, 6-11, 243, Milwaukee Bucks, Central, Eastern
Luka Doncic, 77, PG, 25, 6-6, 230, Los Angeles Lakers, Pacific, Western
Stephen Curry, 30, PG, 36, 6-2, 185, Golden State Warriors, Pacific, Western
LeBron James, 23, SF, 40, 6-9, 250, Los Angeles Lakers, Pacific, Western
Joel Embiid, 21, C, 30, 7-0, 280, Philadelphia 76ers, Atlantic, Eastern
Jayson Tatum, 0, SF, 26, 6-8, 210, Boston Celtics, Atlantic, Eastern
Kevin Durant, 35, PF, 36, 6-11, 240, Phoenix Suns, Pacific, Western
Anthony Davis, 3, PF, 31, 6-10, 253, Dallas Mavericks, Southwest, Western
Damian Lillard, 0, PG, 34, 6-2, 195, Milwaukee Bucks, Central, Eastern
Devin Booker, 1, SG, 28, 6-6, 206, Phoenix Suns, Pacific, Western
Kawhi Leonard, 2, SF, 33, 6-7, 225, LA Clippers, Pacific, Western
Jimmy Butler III, 10, SF, 35, 6-7, 230, Golden State Warriors, Pacific, Western
Ja Morant, 12, PG, 25, 6-2, 174, Memphis Grizzlies, Southwest, Western
Trae Young, 11, PG, 26, 6-1, 164, Atlanta Hawks, Southeast, Eastern
Zion Williamson, 1, PF, 24, 6-6, 284, New Orleans Pelicans, Southwest, Western
Bradley Beal, 3, SG, 31, 6-4, 207, Phoenix Suns, Pacific, Western
Paul George, 8, F, 34, 6-8, 220, Philadelphia 76ers, Atlantic, Eastern
Kyrie Irving, 11, PG, 32, 6-2, 195, Dallas Mavericks, Southwest, Western
Karl-Anthony Towns, 32, C, 29, 7-0, 248, New York Knicks, Atlantic, Eastern
Donovan Mitchell, 45, SG, 28, 6-3, 215, Cleveland Cavaliers, Central, Eastern
Bam Adebayo, 13, C, 27, 6-9, 255, Miami Heat, Southeast, Eastern
De'Aaron Fox, 4, PG, 27, 6-3, 185, San Antonio Spurs, Southwest, Western
Jaylen Brown, 7, SG, 28, 6-6, 223, Boston Celtics, Atlantic, Eastern
Brandon Ingram, 3, SF, 27, 6-8, 190, Toronto Raptors, Atlantic, Eastern
Shai Gilgeous-Alexander, 2, PG, 26, 6-6, 195, Oklahoma City Thunder, Northwest, Western
LaMelo Ball, 1, PG, 23, 6-7, 180, Charlotte Hornets, Southeast, Eastern
Rudy Gobert, 27, C, 32, 7-1, 258, Minnesota Timberwolves, Northwest, Western
